,,,,pace,distance,weather
5864033421,"Aug 28, 2021, 1:58:38 AM",Night Run,Run,7.767259788,1.99341,21.56999969
5879742526,"Aug 31, 2021, 12:07:45 AM",Evening Run,Run,8.193223379,3.99924,17.76000023
5895892776,"Sep 2, 2021, 10:35:11 PM",Evening Run,Run,7.551434773,1.99962,21.18000031
5917917250,"Sep 6, 2021, 10:09:00 PM",Evening Run,Run,7.727371102,3.49623,23.79000092
5938031775,"Sep 10, 2021, 4:48:20 PM",Lunch Run,Run,7.076344505,1.99962,21.75
5953808228,"Sep 13, 2021, 2:28:49 PM",Morning Run,Run,7.754514235,6.22863,20.67000008
6013295138,"Sep 24, 2021, 9:18:39 PM",Afternoon Run,Run,7.669285447,2.0493,18.20000076
6030237529,"Sep 28, 2021, 12:53:43 AM",Evening Run,Run,7.335125414,3.11742,17.73999977
6068490410,"Oct 5, 2021, 5:58:08 PM",Afternoon Run,Run,5.892786296,0.28566,20.36000061
6088898727,"Oct 9, 2021, 6:56:04 PM",Afternoon Run,Run,7.331474281,1.01844,18.88999939
6099409885,"Oct 11, 2021, 9:57:03 PM",Afternoon Run,Run,7.000973406,2.03067,20.19100018
